direction,split,mpps,packet,power_mode,measurement_s
dl,0,7,128,bw,20
dl,0,7,128,pa,20
dl,0,21,128,bw,20
dl,0,21,128,pa,20
dl,0,35,128,bw,20
dl,0,35,128,pa,20
dl,0,49,128,bw,20
dl,0,49,128,pa,20
dl,0,63,128,bw,20
dl,0,63,128,pa,20
dl,0,77,128,bw,20
dl,0,77,128,pa,20
dl,0,100,128,bw,20
dl,0,100,128,pa,20
dl,1,7,128,bw,20
dl,1,7,128,pa,20
dl,1,21,128,bw,20
dl,1,21,128,pa,20
dl,1,35,128,bw,20
dl,1,35,128,pa,20
dl,1,49,128,bw,20
dl,1,49,128,pa,20
dl,1,63,128,bw,20
dl,1,63,128,pa,20
dl,1,77,128,bw,20
dl,1,77,128,pa,20
dl,1,100,128,bw,20
dl,1,100,128,pa,20
dl,2,7,128,bw,20
dl,2,7,128,pa,20
dl,2,21,128,bw,20
dl,2,21,128,pa,20
dl,2,35,128,bw,20
dl,2,35,128,pa,20
dl,2,49,128,bw,20
dl,2,49,128,pa,20
dl,2,63,128,bw,20
dl,2,63,128,pa,20
dl,2,77,128,bw,20
dl,2,77,128,pa,20
dl,2,100,128,bw,20
dl,2,100,128,pa,20
dl,3,7,128,bw,20
dl,3,7,128,pa,20
dl,3,21,128,bw,20
dl,3,21,128,pa,20
dl,3,35,128,bw,20
dl,3,35,128,pa,20
dl,3,49,128,bw,20
dl,3,49,128,pa,20
dl,3,63,128,bw,20
dl,3,63,128,pa,20
dl,3,77,128,bw,20
dl,3,77,128,pa,20
dl,3,100,128,bw,20
dl,3,100,128,pa,20
dl,4,7,128,bw,20
dl,4,7,128,pa,20
dl,4,21,128,bw,20
dl,4,21,128,pa,20
dl,4,35,128,bw,20
dl,4,35,128,pa,20
dl,4,49,128,bw,20
dl,4,49,128,pa,20
dl,4,63,128,bw,20
dl,4,63,128,pa,20
dl,4,77,128,bw,20
dl,4,77,128,pa,20
dl,4,100,128,bw,20
dl,4,100,128,pa,20
