direction,split,mpps,packet,power_mode,measurement_s
ul,0,7,128,bw,20
ul,0,7,128,pa,20
ul,0,21,128,bw,20
ul,0,21,128,pa,20
ul,0,35,128,bw,20
ul,0,35,128,pa,20
ul,0,49,128,bw,20
ul,0,49,128,pa,20
ul,0,63,128,bw,20
ul,0,63,128,pa,20
ul,0,77,128,bw,20
ul,0,77,128,pa,20
ul,0,100,128,bw,20
ul,0,100,128,pa,20
ul,1,7,128,bw,20
ul,1,7,128,pa,20
ul,1,21,128,bw,20
ul,1,21,128,pa,20
ul,1,35,128,bw,20
ul,1,35,128,pa,20
ul,1,49,128,bw,20
ul,1,49,128,pa,20
ul,1,63,128,bw,20
ul,1,63,128,pa,20
ul,1,77,128,bw,20
ul,1,77,128,pa,20
ul,1,100,128,bw,20
ul,1,100,128,pa,20
ul,2,7,128,bw,20
ul,2,7,128,pa,20
ul,2,21,128,bw,20
ul,2,21,128,pa,20
ul,2,35,128,bw,20
ul,2,35,128,pa,20
ul,2,49,128,bw,20
ul,2,49,128,pa,20
ul,2,63,128,bw,20
ul,2,63,128,pa,20
ul,2,77,128,bw,20
ul,2,77,128,pa,20
ul,2,100,128,bw,20
ul,2,100,128,pa,20
ul,3,7,128,bw,20
ul,3,7,128,pa,20
ul,3,21,128,bw,20
ul,3,21,128,pa,20
ul,3,35,128,bw,20
ul,3,35,128,pa,20
ul,3,49,128,bw,20
ul,3,49,128,pa,20
ul,3,63,128,bw,20
ul,3,63,128,pa,20
ul,3,77,128,bw,20
ul,3,77,128,pa,20
ul,3,100,128,bw,20
ul,3,100,128,pa,20
