case,direction,split,offload,mpps,power_mode,probe_pps
smartnic-sa,dl,,0,7,na,50000
smartnic-sa,dl,,0,21,na,50000
smartnic-sa,dl,,0,35,na,50000
host-only,dl,0,100,7,bw,50000
host-only,dl,0,100,7,pa,50000
host-only,dl,0,100,21,bw,50000
host-only,dl,0,100,21,pa,50000
host-only,dl,0,100,35,bw,50000
host-only,dl,0,100,35,pa,50000
host-only,dl,0,100,49,bw,50000
host-only,dl,0,100,49,pa,50000
host-only,dl,0,100,63,bw,50000
host-only,dl,0,100,63,pa,50000
host-only,dl,0,100,77,bw,50000
host-only,dl,0,100,77,pa,50000
host-only,dl,0,100,100,bw,50000
host-only,dl,0,100,100,pa,50000
host-only,ul,0,100,7,bw,50000
host-only,ul,0,100,7,pa,50000
host-only,ul,0,100,21,bw,50000
host-only,ul,0,100,21,pa,50000
host-only,ul,0,100,35,bw,50000
host-only,ul,0,100,35,pa,50000
host-only,ul,0,100,49,bw,50000
host-only,ul,0,100,49,pa,50000
host-only,ul,0,100,63,bw,50000
host-only,ul,0,100,63,pa,50000
host-only,ul,0,100,77,bw,50000
host-only,ul,0,100,77,pa,50000
host-only,ul,0,100,100,bw,50000
host-only,ul,0,100,100,pa,50000
hybrid,dl,3,100,7,bw,50000
hybrid,dl,3,100,21,bw,50000
hybrid,dl,3,100,35,bw,50000
hybrid,dl,3,100,49,bw,50000
hybrid,dl,3,100,63,bw,50000
hybrid,dl,3,100,77,bw,50000
hybrid,dl,3,100,100,bw,50000
hybrid,ul,2,100,7,bw,50000
hybrid,ul,2,100,21,bw,50000
hybrid,ul,2,100,35,bw,50000
hybrid,ul,2,100,49,bw,50000
hybrid,ul,2,100,63,bw,50000
hybrid,ul,2,100,77,bw,50000
hybrid,ul,2,100,100,bw,50000
